iteration,rmse,mae,r_squared,K_BRAKING,K_CORNERING,K_ACCELERATION,K_THERMAL,BETA_DECAY,GAMMA_LAPTIME
1,13.040222041161739,11.543902666666684,-1.3530482084787527,0.001,0.02,0.0005,0.01,0.03,0.1
2,9.38632066797387,7.537452666666674,-0.21913451383130167,0.001,0.02,0.0005,0.01,0.01,0.05
3,11.524810446798922,9.919876800000006,-0.8379277474772615,0.001,0.02,0.0005,0.01,0.01,0.08
4,13.040222041161739,11.543902666666684,-1.3530482084787527,0.001,0.02,0.0005,0.01,0.01,0.1
5,14.601530943297888,13.167928533333349,-1.9502419803369193,0.001,0.02,0.0005,0.01,0.01,0.12
6,17.001812868504153,15.60396733333333,-2.9999200959804417,0.001,0.02,0.0005,0.01,0.01,0.15
7,19.449003332991783,18.100625333333344,-4.234263161051499,0.001,0.02,0.0005,0.01,0.01,0.18
8,21.09847780008154,19.766320000000004,-5.159750176336385,0.001,0.02,0.0005,0.01,0.01,0.2
9,9.38632066797387,7.537452666666674,-0.21913451383130167,0.001,0.02,0.0005,0.01,0.02,0.05
10,11.524810446798922,9.919876800000006,-0.8379277474772615,0.001,0.02,0.0005,0.01,0.02,0.08
11,13.040222041161739,11.543902666666684,-1.3530482084787527,0.001,0.02,0.0005,0.01,0.02,0.1
12,14.601530943297888,13.167928533333349,-1.9502419803369193,0.001,0.02,0.0005,0.01,0.02,0.12
13,17.001812868504153,15.60396733333333,-2.9999200959804417,0.001,0.02,0.0005,0.01,0.02,0.15
14,19.449003332991783,18.100625333333344,-4.234263161051499,0.001,0.02,0.0005,0.01,0.02,0.18
15,21.09847780008154,19.766320000000004,-5.159750176336385,0.001,0.02,0.0005,0.01,0.02,0.2
16,9.38632066797387,7.537452666666674,-0.21913451383130167,0.001,0.02,0.0005,0.01,0.03,0.05
17,11.524810446798922,9.919876800000006,-0.8379277474772615,0.001,0.02,0.0005,0.01,0.03,0.08
18,13.040222041161739,11.543902666666684,-1.3530482084787527,0.001,0.02,0.0005,0.01,0.03,0.1
