Rank,Strategy,Total_Time_Minutes,Total_Time_Seconds,Num_Stops,Time_Delta_Seconds
1,0-Stop INTERMEDIATE,84.71004754289746,5082.6028525738475,0,0.0
2,1-Stop L55 INTERMEDIATE>SOFT,84.90508491323105,5094.305094793863,1,11.70224222001525
3,1-Stop L60 INTERMEDIATE>SOFT,84.91933226310016,5095.15993578601,1,12.55708321216207
4,1-Stop L50 INTERMEDIATE>SOFT,84.9288359740513,5095.730158443078,1,13.12730586923044
5,1-Stop L45 INTERMEDIATE>SOFT,84.99302060965856,5099.581236579514,1,16.978384005666157
6,1-Stop L35 INTERMEDIATE>INTERMEDIATE,85.03081420956411,5101.848852573847,1,19.245999999999185
7,1-Stop L40 INTERMEDIATE>INTERMEDIATE,85.0313767095641,5101.882602573846,1,19.279749999998785
8,1-Stop L30 INTERMEDIATE>INTERMEDIATE,85.03212670956411,5101.927602573846,1,19.324749999998858
9,1-Stop L45 INTERMEDIATE>INTERMEDIATE,85.0338142095641,5102.028852573846,1,19.425999999998567
10,1-Stop L25 INTERMEDIATE>INTERMEDIATE,85.03531420956412,5102.118852573847,1,19.51599999999962
11,1-Stop L50 INTERMEDIATE>INTERMEDIATE,85.03812670956411,5102.287602573847,1,19.68474999999944
12,1-Stop L20 INTERMEDIATE>INTERMEDIATE,85.0403767095641,5102.422602573846,1,19.81974999999875
13,1-Stop L55 INTERMEDIATE>INTERMEDIATE,85.04431420956412,5102.658852573847,1,20.055999999999585
14,1-Stop L15 INTERMEDIATE>INTERMEDIATE,85.0473142095641,5102.838852573846,1,20.235999999998967
15,1-Stop L60 INTERMEDIATE>INTERMEDIATE,85.05237670956411,5103.1426025738465,1,20.539749999999003
16,1-Stop L10 INTERMEDIATE>INTERMEDIATE,85.0561267095641,5103.367602573846,1,20.764749999998457
17,1-Stop L40 INTERMEDIATE>SOFT,85.10109448239942,5106.065668943965,1,23.462816370117253
18,"2-Stop L45,L60 INTERMEDIATE>SOFT>SOFT",85.15343727632522,5109.206236579514,2,26.603384005666157
19,"2-Stop L50,L60 INTERMEDIATE>SOFT>SOFT",85.15800264071797,5109.480158443078,2,26.87730586923044
20,"2-Stop L45,L55 INTERMEDIATE>SOFT>SOFT",85.15968727632523,5109.581236579514,2,26.978384005666157
